,Age,Expressions,Gender,Illumination,Img,Makeup,Occlusion,Pose,Unnamed: 0
0,YOUNG,DISGUST,MALE,MEDIUM,10000000.jpg,"PARTIAL
",NONE,UP,0.0
1,YOUNG,HAPPINESS,MALE,MEDIUM,10000001.jpg,"PARTIAL
",HAND,FRONTAL,1.0
2,YOUNG,NEUTRAL,MALE,MEDIUM,10000002.jpg,"PARTIAL
",NONE,FRONTAL,2.0
3,YOUNG,NEUTRAL,MALE,MEDIUM,10000003.jpg,"PARTIAL
",NONE,LEFT,3.0
4,YOUNG,ANGER,MALE,MEDIUM,10000004.jpg,"PARTIAL
",NONE,LEFT,4.0
5,YOUNG,DISGUST,MALE,BAD,10000005.jpg,"PARTIAL
",NONE,DOWN,5.0
6,YOUNG,DISGUST,MALE,BAD,10000006.jpg,"PARTIAL
",NONE,DOWN,6.0
7,YOUNG,DISGUST,MALE,BAD,10000007.jpg,"PARTIAL
",NONE,DOWN,7.0
8,YOUNG,DISGUST,MALE,MEDIUM,10000008.jpg,"PARTIAL
",NONE,FRONTAL,8.0
9,YOUNG,DISGUST,MALE,MEDIUM,10000009.jpg,"PARTIAL
",HAND,FRONTAL,9.0
10,YOUNG,HAPPINESS,MALE,MEDIUM,10000010.jpg,"PARTIAL
",NONE,RIGHT,10.0
11,YOUNG,DISGUST,MALE,MEDIUM,10000011.jpg,"PARTIAL
",NONE,FRONTAL,11.0
12,YOUNG,HAPPINESS,MALE,MEDIUM,10000012.jpg,"PARTIAL
",NONE,RIGHT,12.0
13,YOUNG,DISGUST,MALE,MEDIUM,10000013.jpg,"PARTIAL
",NONE,RIGHT,13.0
14,YOUNG,DISGUST,MALE,MEDIUM,10000014.jpg,"PARTIAL
",NONE,RIGHT,14.0
15,YOUNG,DISGUST,MALE,MEDIUM,10000015.jpg,"PARTIAL
",NONE,LEFT,15.0
16,YOUNG,DISGUST,MALE,MEDIUM,10000016.jpg,"PARTIAL
",NONE,FRONTAL,16.0
17,YOUNG,DISGUST,MALE,MEDIUM,10000017.jpg,"PARTIAL
",NONE,LEFT,17.0
18,YOUNG,DISGUST,MALE,BAD,10000018.jpg,"PARTIAL
",NONE,LEFT,18.0
19,YOUNG,DISGUST,MALE,BAD,10000019.jpg,"PARTIAL
",NONE,LEFT,19.0
